osm_id,type
5674390,motorway_link
5674349,motorway_link
5674401,motorway_link
5674430,motorway_link
5674398,motorway_link
5674432,motorway_link
5674439,residential
5674286,motorway_link
5674457,residential
5674191,motorway_link
5674171,motorway_link
5674481,residential
5674282,motorway_link
5674411,motorway_link
5674490,residential
5674502,residential
5674514,residential
5673871,motorway_link
5674427,motorway_link
5674297,motorway_link
5674527,residential
5674316,motorway_link
5674224,motorway_link
5674618,primary
5674647,residential
5674202,motorway_link
5674234,motorway_link
5673848,motorway_link
5674421,motorway_link
5674374,primary
5674843,residential
5674358,motorway_link
5674644,residential
5674854,residential
5674866,residential
5674885,residential
5674509,residential
5674467,residential
5674890,secondary
5674905,residential
5674927,residential
5674520,residential
5674882,residential
5674336,motorway_link
5674930,residential
5674461,residential
5674880,residential
5674949,residential
5673720,residential
5674954,residential
5674988,residential
5674388,motorway_link
5675000,residential
5674915,residential
5674917,residential
5674284,motorway_link
5674367,motorway_link
5674567,primary
5675012,residential
5674944,residential
5675021,residential
5674332,motorway_link
5675032,residential
5675064,residential
5675067,residential
5673995,motorway_link
5674902,residential
5674840,tertiary
5674996,residential
5675084,residential
5675092,residential
5674851,residential
5674756,secondary
5673758,primary
5674641,residential
5675135,residential
5675082,residential
5674974,residential
5674982,residential
5675097,residential
5675171,residential
5675018,residential
5674838,secondary
5675197,residential
5674971,residential
5675183,residential
5675204,residential
5675255,residential
5675089,residential
5675023,residential
5675246,residential
5675036,residential
5675025,residential
5675120,residential
5674160,secondary
5675053,residential
5675077,residential
5675200,residential
5675169,residential
5675267,residential
5675253,residential
5674057,motorway_link
5675331,residential
5675180,residential
5675114,residential
5675117,residential
5675029,residential
5675189,residential
5675366,residential
5675406,footway
5675402,residential
5674507,residential
5675314,residential
5675236,residential
5675140,residential
5675418,secondary
5675271,residential
5675423,residential
5675334,residential
5675409,residential
5675443,residential
5675280,residential
5674107,motorway
5675500,residential
5675016,residential
5675264,residential
5674496,residential
5675341,residential
5675437,service
5675509,residential
5674437,residential
5675530,service
5675507,residential
5675310,secondary
5675326,service
5675492,secondary
5675112,unclassified
5675586,residential
5675607,residential
5675357,residential
5675260,residential
5675504,residential
5675274,residential
5675610,residential
5675677,residential
5675532,residential
5675534,residential
5675570,residential
5675447,residential
5675465,residential
5675580,residential
5675749,residential
5675780,residential
5675776,pedestrian
5675634,secondary
5675794,residential
5675523,secondary
5675797,residential
5675798,residential
5675844,residential
5675847,residential
5675286,residential
5675772,residential
5675582,residential
5675398,primary
5675871,residential
5675874,residential
5675882,residential
5675884,residential
5675343,footway
5675915,residential
5675784,residential
5675769,residential
5675809,residential
5675612,tertiary
5675348,residential
5675648,residential
5675934,residential
5675937,residential
5675061,residential
5675157,residential
5675980,residential
5675984,residential
5676030,residential
5675425,residential
5675867,residential
5675925,residential
5673843,unclassified
5675904,residential
5675928,residential
5676037,residential
5676043,secondary
5675921,residential
5676051,residential
5676072,residential
5675860,residential
5675877,residential
5676063,tertiary
5676078,residential
5675917,residential
5676102,residential
5676088,residential
5675858,residential
5675455,residential
5675392,primary
5676055,residential
5674976,residential
5676045,residential
5676148,residential
5676155,residential
5676159,residential
5676194,residential
5676180,residential
5675689,residential
5676003,residential
5675573,residential
5676024,residential
5676033,footway
5676206,residential
5676104,residential
5676085,tertiary
5676259,residential
5675397,residential
5676243,residential
5676252,residential
5676203,residential
5675628,residential
5676277,residential
5676274,residential
5676291,residential
5675644,residential
5676294,residential
5676299,residential
5676297,residential
5676302,residential
5676305,residential
5676309,residential
5676314,residential
5676110,residential
5676321,residential
5676324,residential
5676327,tertiary
5675825,primary
5676153,residential
5676337,residential
5675940,residential
5676344,residential
5676341,residential
5676348,residential
5676351,residential
5676353,residential
5676354,residential
5676209,residential
5676390,residential
5676410,residential
5676389,residential
5676412,residential
5676091,residential
5676257,residential
5676415,residential
5676417,residential
5676269,residential
5676271,residential
5676113,residential
5676452,residential
5676145,unclassified
5676457,residential
5676319,residential
5676458,residential
5676463,residential
5675664,residential
5676070,residential
5676339,residential
5675992,residential
5676474,residential
5675556,tertiary
5673900,motorway_link
5676479,residential
5676481,residential
5676268,residential
5676262,residential
5676484,residential
5676437,residential
5676490,residential
5676496,residential
5676308,residential
5676443,tertiary
5676450,residential
5676422,residential
5676503,residential
5676326,residential
5676531,residential
5676162,residential
5676075,residential
5676240,residential
5676039,residential
5675740,residential
5676549,residential
5676264,residential
5676499,residential
5676468,residential
5676510,residential
5676134,unclassified
5676447,residential
5676573,residential
5676562,residential
5676571,residential
5676356,residential
5676529,residential
5676567,residential
5676493,residential
5676379,primary
5676552,residential
5676626,residential
5676563,residential
5676629,residential
5676662,residential
5676565,residential
5676459,secondary
5675963,secondary
5676678,residential
5676234,residential
5676570,residential
5676469,residential
5676687,residential
5676692,residential
5676507,residential
5676695,residential
5676601,residential
5676501,residential
5676579,residential
5676714,residential
5676748,residential
5676466,residential
5676750,residential
5676766,residential
5676461,residential
5676650,residential
5676522,residential
5676703,residential
5676516,residential
5676769,residential
5676778,residential
5676771,residential
5676785,residential
5676779,residential
5676492,residential
5676538,secondary
5676705,residential
5676789,residential
5676791,residential
5676768,residential
5676664,residential
5676633,residential
5676794,residential
5676788,residential
5676660,residential
5676829,residential
5676816,residential
5676532,residential
5676708,residential
5676837,residential
5676471,residential
5676804,residential
5676734,secondary
5676853,residential
5676776,residential
5676852,residential
5676690,residential
5676614,secondary
5676870,residential
5676590,residential
5676787,residential
5676872,residential
5676874,residential
5676489,residential
5676677,residential
5676561,residential
5676883,residential
5676898,residential
5676889,residential
5676845,residential
5676907,residential
5676526,residential
5676656,residential
5676849,residential
5676798,residential
5676712,residential
5676914,residential
5676920,residential
5676800,residential
5676886,residential
5676921,secondary
5676919,residential
5676803,residential
5676917,service
5676840,secondary
5676910,residential
5676937,secondary
5676697,residential
5676933,residential
5676684,residential
5676929,residential
5676939,secondary
5676923,residential
5676957,residential
5676869,residential
5676865,residential
5676884,residential
5676763,residential
5676105,residential
5677007,secondary
5676867,residential
5676913,residential
5676936,residential
5676975,residential
5677043,residential
5676999,residential
5677002,residential
5676795,residential
5677039,secondary
5676006,residential
5677065,residential
5677053,residential
5677011,residential
5676931,residential
5677068,residential
5676781,residential
5676736,secondary
5677079,residential
5677080,residential
5676952,cycleway
5676813,residential
5676994,secondary
5677108,rail
5676922,residential
5677124,secondary
5677049,residential
5676978,residential
5677017,residential
5677067,residential
5676908,residential
5677140,residential
5676877,residential
5677072,residential
5676833,residential
5677125,footway
5677041,residential
5677047,residential
5677058,residential
5677149,footway
5677001,residential
5677163,residential
5677157,residential
5677171,residential
5677169,residential
5677156,residential
5677160,residential
5677175,residential
5677185,residential
5677137,residential
5677189,residential
5677191,residential
5677077,residential
5677018,residential
5677076,residential
5677201,residential
5677205,residential
5676916,secondary
5677207,residential
5677211,residential
5677210,residential
5677213,residential
5677209,residential
5677219,residential
5677221,residential
5677143,residential
5677229,residential
5677230,residential
5677237,secondary
5677226,residential
5677130,residential
5677248,residential
5677150,residential
5677167,residential
5677154,tertiary
5677270,residential
5676906,residential
5677183,residential
5677273,residential
5677271,residential
5677278,residential
5676838,residential
5677285,residential
5677199,residential
5677132,residential
5677291,residential
5677288,residential
5677206,residential
5677141,residential
5677227,residential
5677300,residential
5677311,residential
5677247,secondary
5677315,residential
5677243,primary
5677112,tertiary
5677316,residential
5677249,residential
5677323,residential
5677322,residential
5677325,residential
5677329,residential
5677257,residential
5677338,residential
5677176,secondary
5677360,residential
5677358,residential
5677365,residential
5677350,footway
5677261,residential
5677368,residential
5677378,residential
5677374,track
5677060,residential
5677387,residential
5677392,residential
5677391,residential
5677390,residential
5677135,residential
5677393,residential
5677302,residential
5677402,residential
5676972,cycleway
5677407,residential
5677410,residential
5677420,residential
5677417,residential
5677298,residential
5677423,residential
5677313,residential
5676969,unclassified
5677431,residential
5677259,residential
5677443,residential
5677318,residential
5677444,residential
5677446,service
5677133,residential
5677438,residential
5677181,service
5677459,residential
5677463,service
5677466,residential
5677468,residential
5677469,residential
5677474,residential
5677454,secondary
5677476,residential
5677478,residential
5677481,residential
5677480,residential
5677489,secondary
5677484,residential
5677492,secondary
5677499,secondary
5677513,pedestrian
5677514,residential
5677515,residential
5677279,residential
5677276,residential
5677516,track
5677518,track
5677517,track
5677519,residential
5677014,residential
5677521,residential
5677522,residential
5677524,residential
5677526,residential
5676830,residential
5677545,residential
5677301,residential
5677529,unclassified
5677546,residential
5677548,residential
5677415,residential
5677217,secondary
5677555,residential
5677557,residential
5677560,residential
5677441,unclassified
5677566,residential
5677568,residential
5677442,residential
5677578,residential
5677037,residential
5677581,residential
5677584,secondary
5677448,residential
5677585,residential
5677586,residential
5677588,residential
5677587,residential
5677589,residential
5677456,secondary
5677591,residential
5677599,tertiary
5677592,residential
5677479,residential
5676911,residential
5677605,secondary
5677606,residential
5677400,residential
5677608,residential
5677283,residential
5677613,residential
5677195,residential
5677320,residential
5677594,residential
5677314,residential
5677610,residential
5677623,residential
5677630,residential
5677600,residential
5677379,residential
5677173,residential
5677533,residential
5677604,residential
5677336,residential
5677551,residential
5677426,residential
5677511,tertiary
5677397,residential
5677674,residential
5677667,residential
5677679,residential
5677139,residential
5677616,residential
5677692,residential
5677559,residential
5677362,residential
5677693,residential
5677625,residential
5677702,residential
5677632,residential
5677707,residential
5677620,residential
5677627,residential
5677710,residential
5677729,residential
5677534,residential
5677730,residential
5677732,residential
5677688,residential
5677745,residential
5677684,residential
5677749,residential
5677574,residential
5677430,residential
5677690,residential
5677340,residential
5677572,residential
5677639,pedestrian
5677726,residential
5677661,residential
5677747,residential
5677520,secondary
5677663,secondary
5677602,residential
5677669,residential
5677615,residential
5677788,residential
5677785,residential
5677792,secondary
5677576,residential
5677786,footway
