,BLOCK,LOT,CD,CT2010,CB2010,ZipCode,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,LotType,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,Tract2010,XCoord,YCoord,SHAPE_Leng,SHAPE_Area
6138,939,44,106,70,6000,10016,2,2798,13044,2000,11044,0,2000,0,0,0,0,1,6,22,24,28.33,98.75,28,86,5,321750,1220850,0,0,1950,1982,0,4.66,10,2,10,1,70,991275,210320,264.1743339,3080.259057
6139,939,45,106,70,6000,10016,2,2798,13044,2000,11044,0,2000,0,0,0,0,1,6,22,24,28.33,98.75,28,86,5,321750,1261800,0,0,1940,1988,0,4.66,10,2,10,1,70,991250,210334,259.2247454,2834.837702
6140,939,47,106,70,6000,10016,2,2798,13044,2000,11044,0,2000,0,0,0,0,1,6,22,24,28.33,98.75,28,86,5,321750,1220850,0,0,1910,0,0,4.66,10,2,10,1,70,991226,210347,256.7455799,2714.998211
6141,939,48,106,70,6000,10016,2,2469,9390,1000,8390,0,1000,0,0,0,0,1,5,16,17,25,98.75,25,80,5,202500,1348650,0,0,1920,2007,0,3.8,10,2,10,1,70,991203,210360,255.8390925,2675.043526
6142,939,52,106,70,6000,10016,5,2098,13202,13202,0,11316,1886,0,0,0,0,1,6,0,2,21.25,98.75,21,86,5,380250,1569150,0,0,1920,2004,0,6.29,10,2,10,1,70,991118,210406,244.1750787,2106.547941
6143,940,17,106,78,5003,10016,3,3900,21000,0,21000,0,0,0,0,0,0,1,7,29,29,40,97.5,40,86,5,616500,1948950,0,0,1920,1979,0,5.38,10,2,10,1,78,991304,210527,280.6408209,4148.512164
6144,940,33,106,78,5003,10016,3,5251,60652,0,60652,0,0,0,0,0,0,1,16,24,24,73.25,75,73,70,5,3546000,6847650,3546000,6847650,2006,0,0,11.55,6.02,0,6.5,1,78,991580,210418,301.6826285,5209.332485
6145,940,44,106,78,5003,10016,4,3750,13752,2850,10902,0,2850,0,0,0,0,1,6,30,32,37.5,100,38,82,5,275400,1151550,0,0,1910,1988,2010,3.67,6.02,0,6.5,1,78,991450,210561,281.2999661,3929.593068
6146,943,1,106,78,6001,10016,3,16200,80000,0,80000,0,0,0,0,0,0,1,6,83,83,123.42,137,111,129,3,1368000,7112250,79096,79096,1941,0,0,4.94,10,2,10,1,78,991458,211336,519.4256383,16565.22103
6147,943,7,106,78,6001,10016,4,6913,28014,2000,26014,0,2000,0,0,0,0,2,6,33,36,70.67,83.38,60,58,5,419400,2100600,0,0,1910,1988,0,4.05,10,2,10,1,78,991532,211273,330.778552,6311.595788
6148,943,57,106,78,6001,10016,2,4500,19215,0,19215,0,0,0,0,0,0,3,5,50,50,70.58,74.75,21,56,5,450000,1997100,0,0,1910,0,0,4.27,10,2,10,1,78,991551,211402,283.7624451,4932.489723
6149,944,5,106,78,7001,10016,5,2918,2750,2750,0,0,2750,0,0,0,0,1,1,0,0,25,110.75,25,110,5,270000,364500,0,0,1910,0,0,0.94,10,2,10,1,78,991624,211531,264.2805157,2531.628316
6150,944,10,106,78,7000,10016,4,33122,438635,30225,408410,0,0,30225,0,0,0,1,36,510,720,225,197.5,195,155,4,12060000,40281300,0,0,1980,0,0,13.24,10,2,10,1,78,991881,211502,980.4661279,33807.03531
6151,944,43,106,78,7000,10016,5,3308,9376,9376,0,9376,0,0,0,0,0,1,3,0,3,33.5,98.75,33.5,98.75,5,299250,421200,233415,328536,1929,1964,0,2.83,10,2,10,1,78,991799,211546,275.9472596,3585.799036
6152,962,50,106,62,2000,10010,5,63350,16000,16000,0,0,16000,0,0,0,0,1,1,0,1,1104.83,84,170,22,5,1948500,3953250,1948500,3953250,1982,0,0,0.25,0,2,0,1,62,0,0,2036.841956,27549.13361
6153,969,1,106,86.01,1010,10016,5,11606,98400,98400,0,93400,5000,0,0,0,0,2,8,0,26,50.5,125,33,90,3,4860000,10169100,0,0,1910,1984,0,8.48,10,2,10,1,8601,992109,210964,450.4180501,12403.28367
6154,972,1,106,44,5005,10009,4,2675000,8942176,574234,8367942,16820,77414,480000,0,0,0,36,13,8756,8800,1362,2023,1362,2023,3,117450000,504451800,0,0,1945,0,0,3.34,3.44,0,6.5,1,44,990376,205864,6559.367495,2697660.894
6155,991,60,106,62,2000,10010,4,230066,1797891,432453,1365438,9305,41545,294656,2308,0,11725,7,40,1101,1122,329.75,465,128,131,5,18450000,85027500,18450000,85027500,1973,0,0,7.81,7.52,2,10,1,62,991660,207941,2259.789169,223338.5174
6156,993,1,105,113,1008,10018,5,3555,71741,71741,0,67441,4300,0,0,0,0,1,21,0,26,59.25,60,59,60,3,2970000,6740100,0,0,1925,1989,0,20.18,10,15,15,1,113,987705,214268,252.9613456,3998.276733
6157,993,7,105,113,1008,10018,5,3248,37645,37645,0,31645,6000,0,0,0,0,1,12,0,12,47.67,82.75,49,83,3,1890000,3181050,0,0,1924,0,0,11.59,10,15,15,1,113,987820,214192,276.3781644,3387.581296
6158,993,11,105,113,1009,10018,5,30200,747576,747576,0,722821,23635,0,1120,0,0,1,25,0,44,128.08,203.83,128.08,203.83,3,32400000,98875000,0,0,1924,2001,0,24.75,10,15,15,1,113,988069,214086,904.0994384,30207.69629
6159,993,36,105,113,1009,10018,5,12343,174028,174028,0,146648,27180,0,200,0,0,1,12,0,28,98.75,125,97,125,3,7470000,18541800,0,0,1919,2001,0,14.1,10,15,15,1,113,988382,214028,452.9027915,12707.36468
6160,993,47,105,113,1009,10018,5,13550,362850,362850,0,334140,14355,0,14355,0,0,1,42,0,150,76.83,173.17,77,173,3,12600000,52426800,0,0,1931,0,0,26.78,10,15,15,1,113,988056,214217,544.6870172,14533.10269
6161,993,55,105,113,1008,10018,5,18225,460730,460730,0,450730,10000,0,0,0,0,1,33,0,1,92,157.83,92,157.83,3,34650000,65200050,0,0,1929,0,0,25.28,10,15,15,1,113,987805,214343,583.2597171,18138.23092
6162,994,9,105,113,1000,10036,5,11325,194479,194479,0,188816,5663,0,0,0,0,1,16,0,97,102.42,113.33,103,113,3,9225000,25095150,0,0,1952,1999,0,17.17,10,15,15,1,113,988065,214382,470.1290244,12280.95362
6163,994,16,105,113,1000,10036,5,2468,8545,8545,0,6545,2000,0,0,0,0,1,5,0,6,25,98.75,25,55,5,409500,682200,0,0,1900,0,0,3.46,10,15,15,1,113,988152,214336,256.2489973,2574.355951
6164,994,47,105,113,1000,10036,5,7173,166121,166121,0,0,0,0,0,0,0,1,0,0,282,74.5,98.75,0,0,0,4842000,13797000,0,0,0,0,0,23.16,10,15,15,1,113,988225,214413,369.7325705,7526.743858
6165,995,1,105,113,1002,10036,4,5400,111653,111653,0,0,10655,0,0,0,100998,2,22,0,1,143,58.33,143,58.33,3,16110000,24087600,0,0,1908,1965,0,20.68,10,15,15,1,113,987981,214780,365.0239058,5621.554216
6166,995,5,105,119,1005,10036,5,45800,1642675,1642675,0,1597675,45000,0,0,0,0,1,51,0,2,200.25,187,0,0,3,71550000,292602150,71550000,292602150,1998,1988,0,35.87,10,15,15,1,119,988194,214716,855.3731845,44764.33124
6167,995,33,105,119,1005,10036,5,87863,2245112,2245112,0,2189226,55886,0,0,0,0,1,54,0,1,200.83,437.5,0,0,3,98915400,666323100,98915400,666323100,2005,0,0,25.55,10,15,15,1,119,988485,214549,1311.072268,92341.24453
6168,996,14,105,119,1004,10036,5,14476,8000,8000,0,0,8000,0,0,0,0,1,13,0,3,144.17,100.42,144.17,100.42,5,4486500,8345840,4127580,7678173,1902,1985,2004,0.55,10,12,12,1,119,988440,214815,489.4140662,14564.10946
6169,996,20,105,119,1004,10036,4,2092,7293,1800,5493,0,1800,0,0,0,0,1,5,6,8,20.83,100.42,21,100,5,118498,468737,0,0,1910,0,0,3.49,10,12,12,1,119,988512,214776,248.1295404,2234.11639
6170,996,21,105,119,1004,10036,5,12563,60750,60750,0,0,0,0,0,0,60750,1,7,0,1,125,100.42,125,101,5,1385100,2635200,969570,1844640,1919,1985,0,4.84,10,12,12,1,119,988577,214740,455.4817144,12830.13214
6171,996,46,105,119,1004,10036,5,7656,0,0,0,0,0,0,0,0,0,1,10,0,1,76.25,100.42,76.25,100.42,5,2250000,18840150,0,9551250,1905,2009,2009,0,10,12,12,1,119,988520,214888,357.3991276,7833.801808
6172,996,50,105,119,1004,10036,5,1506,3000,3000,0,2000,1000,0,0,0,0,1,3,0,3,15,100.42,15,70,5,90000,360000,0,0,1910,0,0,1.99,10,12,12,1,119,988451,214926,236.1129762,1673.133607
6173,996,156,105,119,1004,10036,4,2410,10350,5340,5010,0,3340,0,2000,0,0,1,5,9,10,24,100.42,24,100,5,198386,1113584,0,0,1920,0,0,4.29,10,14,14,1,119,988308,215004,246.9126055,2220.064819
6174,997,10,105,119,1001,10036,5,16820,1985,1985,0,0,1985,0,0,0,0,3,48,0,1,117.42,200.83,117.42,200.83,4,21105000,57396150,0,0,1988,0,0,0.12,10,12,12,1,119,988504,215129,748.7108746,29961.97234
6175,997,19,105,119,1001,10036,3,10000,115355,12135,103220,0,12135,0,0,0,0,1,13,119,122,100,100.42,100,100,5,5040000,13200300,0,0,1900,1982,0,11.54,10,12,12,1,119,988638,215002,406.1744026,10308.68207
6176,997,23,105,119,1001,10036,5,12552,49500,49500,0,0,0,0,0,0,49500,1,4,0,1,125,100.42,105,80,5,1417500,6110100,0,0,1923,2009,0,3.94,10,15,15,1,119,988741,214945,476.0491681,13910.34806
6177,997,29,105,119,1001,10036,5,33639,734668,734668,0,686025,11510,0,0,0,37133,1,40,0,43,200,210,200,210,3,52650000,126222300,0,0,1984,0,0,21.84,10,15,15,1,119,988863,214936,848.5708793,35157.38805
6178,997,47,105,119,1001,10036,5,3518,0,0,0,0,0,0,0,0,0,1,8,0,1,35,100.42,35,100,5,2547000,6379200,0,0,1900,1988,2005,0,10,12,12,1,119,988616,215131,272.5665871,3544.915698
6179,998,18,105,119,1000,10036,5,4715,4670,4670,0,0,4670,0,0,0,0,1,16,0,2,57.5,82,57.5,73.75,5,2115000,12771000,0,2970000,1928,2004,0,0.99,10,12,12,1,119,988733,215235,283.1023982,4845.997062
